statistic,player,team,value,year
Wins,Mike Mussina,Baltimore,19,1995
Base on Balls,Tony Phillips,Chicago,125,1996
Batting Average,Alex Rodriguez,Seattle,.358,1996
Doubles,Alex Rodriguez,Seattle,54,1996
Hits,Paul Molitor,Minnesota,225,1996
Home Runs,Mark McGwire,Oakland,52,1996
On Base Percentage,Mark McGwire,Oakland,.468,1996
RBI,Albert Belle,Cleveland,148,1996
Runs,Alex Rodriguez,Seattle,141,1996
Slugging Average,Mark McGwire,Oakland,.730,1996
Stolen Bases,Kenny Lofton,Cleveland,75,1996
Total Bases,Alex Rodriguez,Seattle,379,1996
Triples,Chuck Knoblauch,Minnesota,14,1996
Complete Games,Pat Hentgen,Toronto,10,1996
ERA,Juan Guzman,Toronto,2.93,1996
Games,Eddie Guardado,Minnesota,83,1996
Games,Mike Myers,Detroit,83,1996
Saves,John Wetteland,New York,43,1996
Shutouts,Pat Hentgen,Toronto,3,1996
Shutouts,Ken Hill,Texas,3,1996
Shutouts,Rich Robertson,Minnesota,3,1996
Strikeouts,Roger Clemens,Boston,257,1996
Winning Percentage,Charles Nagy,Cleveland,.773,1996
Wins,Andy Pettitte,New York,21,1996
Base on Balls,Jim Thome,Cleveland,120,1997
Batting Average,Frank Thomas,Chicago,.347,1997
Doubles,John Valentin,Boston,47,1997
Hits,Nomar Garciaparra,Boston,209,1997
Home Runs,"Ken Griffey, Jr.",Seattle,56,1997
On Base Percentage,Frank Thomas,Chicago,.461,1997
RBI,"Ken Griffey, Jr.",Seattle,147,1997
Runs,"Ken Griffey, Jr.",Seattle,125,1997
Slugging Average,"Ken Griffey, Jr.",Seattle,.646,1997
Stolen Bases,Brian Hunter,Detroit,74,1997
Total Bases,"Ken Griffey, Jr.",Seattle,393,1997
Triples,Nomar Garciaparra,Boston,11,1997
Complete Games,Roger Clemens,Toronto,9,1997
Complete Games,Pat Hentgen,Toronto,9,1997
ERA,Roger Clemens,Toronto,2.05,1997
Games,Mike Myers,Detroit,88,1997
Saves,Randy Myers,Baltimore,45,1997
Shutouts,Roger Clemens,Toronto,3,1997
Shutouts,Pat Hentgen,Toronto,3,1997
Strikeouts,Roger Clemens,Toronto,292,1997
Winning Percentage,Randy Johnson,Seattle,.833,1997
Wins,Roger Clemens,Toronto,21,1997
Base on Balls,Rickey Henderson,Oakland,118,1998
Batting Average,Bernie Williams,New York,.339,1998
Doubles,Juan Gonzalez,Texas,50,1998
Hits,Alex Rodriguez,Seattle,213,1998
Home Runs,"Ken Griffey, Jr.",Seattle,56,1998
On Base Percentage,Edgar Martinez,Seattle,.433,1998
RBI,Juan Gonzalez,Texas,157,1998
Runs,Derek Jeter,New York,127,1998
