statistic,player,team,value,year
Statistic,Name,Team,#,1992
Base on Balls,Mickey Tettleton,Detroit,122,1992
Base on Balls,Frank Thomas,Chicago,122,1992
Batting Average,Edgar Martinez,Seattle,.343,1992
Doubles,Edgar Martinez,Seattle,46,1992
Doubles,Frank Thomas,Chicago,46,1992
Hits,Kirby Puckett,Minnesota,210,1992
Home Runs,Juan Gonzalez,Texas,43,1992
On Base Percentage,Frank Thomas,Chicago,.446,1992
RBI,Cecil Fielder,Detroit,124,1992
Runs,Tony Phillips,Detroit,114,1992
Slugging Average,Mark McGwire,Oakland,.585,1992
Stolen Bases,Kenny Lofton,Cleveland,66,1992
Total Bases,Kirby Puckett,Minnesota,313,1992
Triples,Lance Johnson,Chicago,12,1992
Statistic,Name,Team,#,1992
1992 American League Pitcher Review ← 1991 | 1992 Pitching Statistics League Leaders | 1993 →,1992 American League Pitcher Review ← 1991 | 1992 Pitching Statistics League Leaders | 1993 →,1992 American League Pitcher Review ← 1991 | 1992 Pitching Statistics League Leaders | 1993 →,1992 American League Pitcher Review ← 1991 | 1992 Pitching Statistics League Leaders | 1993 →,1992
Statistic,Name,Team,#,1992
Complete Games,Jack McDowell,Chicago,13,1992
ERA,Roger Clemens,Boston,2.41,1992
Games,Kenny Rogers,Texas,81,1992
Saves,Dennis Eckersley,Oakland,51,1992
Shutouts,Roger Clemens,Boston,5,1992
Strikeouts,Randy Johnson,Seattle,241,1992
Winning Percentage,Mike Mussina,Baltimore,.783,1992
Wins,Kevin Brown,Texas,21,1992
Wins,Jack Morris,Toronto,21,1992
Statistic,Name,Team,#,1992
1992 American League Team Standings,1992 American League Team Standings,1992 American League Team Standings,1992 American League Team Standings,1992
East,Team [Click for roster],Wins,Losses,1992
East,Toronto Blue Jays,96,66,1992
East,Milwaukee Brewers,92,70,1992
East,Baltimore Orioles,89,73,1992
East,New York Yankees,76,86,1992
East,Cleveland indians,76,86,1992
East,Detroit Tigers,75,87,1992
East,Boston Red Sox,73,89,1992
West,Team [Click for roster],Wins,Losses,1992
West,Oakland Athletics,96,66,1992
West,Minnesota Twins,90,72,1992
West,Chicago White Sox,86,76,1992
West,Texas Rangers,77,85,1992
West,Kansas City Royals,72,90,1992
West,California Angels,72,90,1992
West,Seattle Mariners,64,98,1992
American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,1992
1993 American League Player Review ← 1992 | 1993 Hitting Statistics League Leaders | 1994 →,1993 American League Player Review ← 1992 | 1993 Hitting Statistics League Leaders | 1994 →,1993 American League Player Review ← 1992 | 1993 Hitting Statistics League Leaders | 1994 →,1993 American League Player Review ← 1992 | 1993 Hitting Statistics League Leaders | 1994 →,1993
Statistic,Name,Team,#,1993
Base on Balls,Tony Phillips,Detroit,132,1993
Batting Average,John Olerud,Toronto,.363,1993
Doubles,John Olerud,Toronto,54,1993
Hits,Paul Molitor,Toronto,211,1993
Home Runs,Juan Gonzalez,Texas,46,1993
On Base Percentage,John Olerud,Toronto,.478,1993
RBI,Albert Belle,Cleveland,129,1993
Runs,Rafael Palmeiro,Texas,124,1993
Slugging Average,Juan Gonzalez,Texas,.632,1993
Stolen Bases,Kenny Lofton,Cleveland,70,1993
Total Bases,"Ken Griffey, Jr.",Seattle,359,1993
Triples,Lance Johnson,Chicago,14,1993
Statistic,Name,Team,#,1993
1993 American League Pitcher Review ← 1992 | 1993 Pitching Statistics League Leaders | 1994 →,1993 American League Pitcher Review ← 1992 | 1993 Pitching Statistics League Leaders | 1994 →,1993 American League Pitcher Review ← 1992 | 1993 Pitching Statistics League Leaders | 1994 →,1993 American League Pitcher Review ← 1992 | 1993 Pitching Statistics League Leaders | 1994 →,1993
Statistic,Name,Team,#,1993
Complete Games,Chuck Finley,California,13,1993
ERA,Kevin Appier,Kansas City,2.56,1993
Games,Greg Harris,Boston,80,1993
Saves,Jeff Montgomery,Kansas City,45,1993
Saves,Duane Ward,Toronto,45,1993
Shutouts,Jack McDowell,Chicago,4,1993
Strikeouts,Randy Johnson,Seattle,308,1993
Winning Percentage,Jimmy Key,New York,.750,1993
Wins,Jack McDowell,Chicago,22,1993
Statistic,Name,Team,#,1993
1993 American League Team Standings,1993 American League Team Standings,1993 American League Team Standings,1993 American League Team Standings,1993
East,Team [Click for roster],Wins,Losses,1993
East,Toronto Blue Jays,95,67,1993
East,New York Yankees,88,74,1993
East,Baltimore Orioles,85,77,1993
East,Detroit Tigers,85,77,1993
East,Boston Red Sox,80,82,1993
East,Cleveland Indians,76,86,1993
East,Milwaukee Brewers,69,93,1993
West,Team [Click for roster],Wins,Losses,1993
West,Chicago White Sox,94,68,1993
West,Texas Rangers,86,76,1993
West,Kansas City Royals,84,78,1993
West,Seattle Mariners,82,80,1993
West,California Angels,71,91,1993
West,Minnesota Twins,71,91,1993
West,Oakland Athletics,68,94,1993
American League Team Standings,American League Team Standings,American League Team Standings,American League Team Standings,1993
1994 American League Player Review ← 1993 | 1994 Hitting Statistics League Leaders | 1995 →,1994 American League Player Review ← 1993 | 1994 Hitting Statistics League Leaders | 1995 →,1994 American League Player Review ← 1993 | 1994 Hitting Statistics League Leaders | 1995 →,1994 American League Player Review ← 1993 | 1994 Hitting Statistics League Leaders | 1995 →,1994
Statistic,Name,Team,#,1994
Base on Balls,Frank Thomas,Chicago,109,1994
Batting Average,Paul O'Neill,New York,.359,1994
Doubles,Chuck Knoblauch,Minnesota,45,1994
Hits,Kenny Lofton,Cleveland,160,1994
Home Runs,"Ken Griffey, Jr.",Seattle,40,1994
On Base Percentage,Frank Thomas,Chicago,.494,1994
RBI,Kirby Puckett,Minnesota,112,1994
Runs,Frank Thomas,Chicago,106,1994
Slugging Average,Frank Thomas,Chicago,.729,1994
Stolen Bases,Kenny Lofton,Cleveland,60,1994
Total Bases,Albert Belle,Cleveland,294,1994
Triples,Lance Johnson,Chicago,14,1994
Statistic,Name,Team,#,1994
1994 American League Pitcher Review ← 1993 | 1994 Pitching Statistics League Leaders | 1995 →,1994 American League Pitcher Review ← 1993 | 1994 Pitching Statistics League Leaders | 1995 →,1994 American League Pitcher Review ← 1993 | 1994 Pitching Statistics League Leaders | 1995 →,1994 American League Pitcher Review ← 1993 | 1994 Pitching Statistics League Leaders | 1995 →,1994
Statistic,Name,Team,#,1994
Complete Games,Randy Johnson,Seattle,9,1994
ERA,Steve Ontiveros,Oakland,2.65,1994
Games,Bob Wickman,New York,53,1994
Saves,Lee Smith,Baltimore,33,1994
Shutouts,Randy Johnson,Seattle,4,1994
Strikeouts,Randy Johnson,Seattle,204,1994
Winning Percentage,Jason Bere,Chicago,.857,1994
Wins,Jimmy Key,New York,17,1994
Statistic,Name,Team,#,1994
1994 American League Team Standings,1994 American League Team Standings,1994 American League Team Standings,1994 American League Team Standings,1994
East,Team [Click for roster],Wins,Losses,1994
East,New York Yankees,70,43,1994
East,Baltimore Orioles,63,49,1994
East,Toronto Blue Jays,55,60,1994
